File,Original Size (bytes),Tool,Compressed Size (bytes),Compression Ratio (%),Bits/Symbol,Compress Time (ms),Decompress Time (ms),Lossless
A,1308765,g07,681163,52.05,4.1637,44,63,YES
A,1308765,gzip,765497,58.49,4.6792,46,12,YES
A,1308765,bzip2,707422,54.05,4.3242,74,47,YES
A,1308765,xz,698040,53.34,4.2669,272,31,YES
A,1308765,zstd,700412,53.52,4.2814,14,4,YES
B,1168767,g07,787009,67.34,5.3869,50,67,YES
B,1168767,gzip,267569,22.89,1.8315,27,6,YES
B,1168767,bzip2,209479,17.92,1.4338,59,25,YES
B,1168767,xz,207576,17.76,1.4208,207,10,YES
B,1168767,zstd,270395,23.14,1.8508,7,3,YES
C,2000000,g07,1315575,65.78,5.2623,77,118,YES
C,2000000,gzip,651482,32.57,2.6059,54,11,YES
C,2000000,bzip2,530253,26.51,2.1210,102,50,YES
C,2000000,xz,494416,24.72,1.9777,415,23,YES
C,2000000,zstd,624404,31.22,2.4976,12,5,YES
D,2000000,g07,2001020,100.05,8.0041,99,160,YES
D,2000000,gzip,2000330,100.02,8.0013,42,8,YES
D,2000000,bzip2,2009059,100.45,8.0362,135,82,YES
D,2000000,xz,2000160,100.01,8.0006,291,4,YES
D,2000000,zstd,2000061,100.00,8.0002,5,3,YES
E,1012112,g07,892855,88.22,7.0574,50,77,YES
E,1012112,gzip,897332,88.66,7.0927,34,7,YES
E,1012112,bzip2,895061,88.43,7.0748,67,46,YES
E,1012112,xz,868756,85.84,6.8669,165,42,YES
E,1012112,zstd,895471,88.48,7.0780,6,3,YES
F,2097152,g07,1837967,87.64,7.0113,100,148,YES
F,2097152,gzip,1845625,88.01,7.0405,57,15,YES
F,2097152,bzip2,1699879,81.06,6.4845,121,84,YES
F,2097152,xz,1727568,82.38,6.5901,369,86,YES
F,2097152,zstd,1840935,87.78,7.0226,10,4,YES
G,2526752,g07,1043822,41.31,3.3049,68,100,YES
G,2526752,gzip,934659,36.99,2.9592,182,15,YES
G,2526752,bzip2,725142,28.70,2.2959,124,69,YES
G,2526752,xz,750600,29.71,2.3765,748,31,YES
G,2526752,zstd,905085,35.82,2.8656,18,7,YES
H,1022760,g07,824865,80.65,6.4521,47,68,YES
H,1022760,gzip,450169,44.02,3.5212,40,8,YES
H,1022760,bzip2,432998,42.34,3.3869,50,36,YES
H,1022760,xz,366908,35.87,2.8699,182,21,YES
H,1022760,zstd,459851,44.96,3.5969,10,4,YES
